,player_id,age,player_height,player_weight,college,country,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
213,214,27.0,205.74,95.25431999999999,Cincinnati,USA,39,3.5,1.5,0.4,-6.1,0.025,0.122,0.188,0.414,0.068
214,215,27.0,200.66,92.98636,North Carolina,USA,62,11.3,2.5,1.5,0.6,0.015,0.07200000000000001,0.153,0.615,0.081
215,216,24.0,200.66,88.45044,Iowa,USA,79,14.4,4.5,3.3,-2.9,0.036000000000000004,0.127,0.228,0.5329999999999999,0.188
216,217,31.0,205.74,102.0582,Nevada-Las Vegas,USA,19,2.0,2.9,0.3,-4.4,0.166,0.17600000000000002,0.139,0.446,0.057
217,218,34.0,205.74,108.86208,Cincinnati,USA,42,5.2,4.3,0.4,1.4,0.061,0.174,0.13699999999999998,0.445,0.031
218,219,24.0,200.66,107.047712,California,USA,74,7.4,3.1,0.8,-1.4,0.071,0.138,0.209,0.52,0.077
219,220,32.0,205.74,104.32616,Connecticut,USA,65,11.5,6.6,1.2,1.7,0.064,0.224,0.188,0.591,0.083
220,221,24.0,187.96,86.18248,Oakland,USA,60,15.5,2.7,3.4,1.9,0.01,0.078,0.231,0.54,0.185
221,222,28.0,190.5,86.18248,Memphis,USA,64,18.0,3.8,4.4,-3.9,0.034,0.092,0.256,0.53,0.21600000000000005
222,223,27.0,208.28,129.27372,Wright State,Ukraine,79,4.6,4.4,0.4,-1.0,0.132,0.154,0.141,0.513,0.038
223,224,22.0,205.74,117.026736,Duke,USA,75,15.5,11.4,2.0,0.5,0.099,0.268,0.198,0.5670000000000001,0.098
224,225,29.0,203.2,98.429464,Michigan,USA,83,20.4,4.5,4.3,-2.1,0.016,0.117,0.26,0.528,0.203
225,226,30.0,198.12,113.398,Kentucky,USA,74,2.7,4.0,1.5,-2.2,0.105,0.177,0.095,0.469,0.135
226,227,26.0,208.28,107.047712,Duke,USA,6,2.3,2.3,0.2,11.1,0.13699999999999998,0.152,0.193,0.371,0.031
227,228,26.0,195.58,97.52228,Colorado,USA,62,20.5,3.5,6.8,0.9,0.015,0.085,0.287,0.5379999999999999,0.345
228,229,26.0,185.42,86.18248,Virginia,USA,36,7.3,2.1,3.3,-1.1,0.01,0.102,0.2,0.467,0.275
229,230,30.0,193.04,92.98636,Bowling Green,USA,75,11.2,2.3,4.1,4.2,0.012,0.08900000000000001,0.189,0.557,0.261
230,231,33.0,198.12,97.52228,Arizona,USA,76,7.6,4.0,3.4,13.4,0.03,0.131,0.113,0.624,0.16899999999999998
231,232,23.0,210.82,108.86208,None,Czech Republic,51,2.5,2.4,0.5,-3.1,0.084,0.151,0.122,0.48,0.069
